Status DB;comment;Channel;Account;Gruppe;Region;Verbund/Gruppe;Verbund 2/Gruppe 2;Strecken GH#;Payer#;Customer#;Name;Name Zusatz;street;ZIP-code;City;"new
Respons.";BuLand Abladestelle;Scoring;Plant;TSP;RegFT;Vorverladung;CallPlan;Anrufzeit;24/48er;EDI/TEL/FAX;EDI via BATconnect;delivery Prio;Call freq.;Mo;Di;Mi;Do;Fr;Sandwichpaletten;Abschlichten Originalpaletten;Kommivorgabe;"Sortenrein
ab 4ten cs";Shipping Instructions;"ZF Buchung
(Transporeon o andere)";"Info ordercuts
yes/no/summarized";"Info new GTIN
y/n/confirmation needed";nan;"only full MC
(exceptional tail brands)
yes/no";Hebebühne erforderlich;EuPal Pflicht?;Anlieferzeit;Kundeneigener WE Beleg;DDN live;DDN M@il;DESADV;GLN;EO-ID;F-ID;KAM;"CL
k €";BATconnect Sortiment;"Anzahl
Verkaufsstellen";Vorlauf regulär;"Tender
commitment to 48hrs
leadtime";check;SB bis 16.12.24;Calls pW;"old
Respons.
-10.3.25"
aktiv;Anlage für SAR H1 2024;newChannels;Adrian Brucker;;SAR;;;56313069;56313069;56313069;Adrian Brucker GmbH & Co. KG;;Teaberhofstraße 12;83026;Rosenheim;;;;DE11;;;;Nein;;48er;EDI;yes;;;X;X;X;X;X;;;;;;no;;;;;;;08:00-14:00;;;;;4031300004159;QCBDR+1DE438068;QCBDR<1DE438068377199;Marko Djuricic;;New Categories/ PRRP (Vuse, glo, neo, veo) + E-Com only Produkte;;;;;;5;SdS
aktiv;;Grocery;Aldi Nord;;126;;;50034501;50034501;50034501;ALDI GmbH & Co. KG;MEI;Hintern Hecken 2;39179;Barleben (Meitzendorf);AnnaS;15 - Sachsen-Anhalt;;DE30;DE57;;;Ja;06:25:00;48er;Fax/Mail;;0;01;X;;;;;Nein;Nein;;;;yes;;;;yes;;;07:00 - 13:00;;JA;;;;QCBDR+1DE920977;QCBDR<1DE920977807889;Sven Weber;;;98;;;;MK;1;MH
aktiv;;Grocery;Aldi Nord;;121;;;50034111;50034111;50034111;ALDI GmbH & Co. KG;BEU;Gebrüder-Helfmann-Str. 8;4824;Beucha;AnnaS;14 - Sachsen;;DE30;DE57;;;Ja;06:25:00;48er;Fax/Mail;;2;01;X;;;;;Nein;Nein;;;;no;;;;yes;;;06:00 - 13:00;;JA;;;;QCBDR+1DE474299;QCBDR<1DE474299658275;Sven Weber;;;109;;;;MH;1;CK/MK/MH/AW/SdS/CD/CB/MR
inaktiv;Geschlossen ab 31.12.2023;Grocery;Aldi Nord;;;;;50134380;50134380;50134380;ALDI GmbH & Co. KG;GRE;Up'n Nien Esch 26/34;48268;Greven;;05 - Nordrhein-Westfalen;;DE56;;;;Nein;06:25:00;48er;Fax/Mail;;;WO;;;X;;;Nein;Nein;;;;no;;;;yes;;;;;NEIN;;;;QCBDR+1DE316597;QCBDR<1DE316597003078;Sven Weber;;;;;;;SdS;1;MH
aktiv;;Grocery;Aldi Nord;;101;;;50133459;50133459;50133459;ALDI GmbH & Co. KG;HER;Hohewardstr. 345/34;45699;Herten;Krystian;06 - Hessen;;DE56;;;;Ja;06:25:00;48er;Fax/Mail;;;WO;;X;;;;Nein;Nein;;;;no;;;;yes;;;06:00 - 14:00;;JA;;;43062861059;QCBDR+1DE511295;QCBDR<1DE511295326163;Sven Weber;;;99;;;;CD;1;MK
aktiv;;Grocery;Aldi Nord;;115;;;50034061;50034061;50034061;ALDI GmbH & Co. KG;HES;Wehrden 4;26835;Hesel;Krystian;03 - Niedersachsen;;DE54;;;;Ja;06:25:00;48er;Fax/Mail;;0;WE;X;;;;;Nein;Nein;;;;yes;;;;yes;;;06:00 - 13:00;;NEIN;;;;QCBDR+1DE220371;QCBDR<1DE220371034753;Sven Weber;;;82;;;;MH;1;MK
aktiv;;Grocery;Aldi Nord;;129;;;50034593;50034593;50034593;ALDI GmbH & Co. KG;JAR;Anklamer Str. 9;17126;Jarmen;AnnaS;13 - Mecklenburg-Vorpommern;;DE53;;;;Ja;06:25:00;48er;Fax/Mail;;0;01;;X;;;;Nein;Nein;;;;no;;;;yes;;;07:00 - 12:00;;NEIN;;;430652206;QCBDR+1DE600790;QCBDR<1DE600790781590;Sven Weber;;;86;;;;CD;1;MK
inaktiv;Geschlossen ab 31.12.2023;Grocery;Aldi Nord;;;;;50034219;50034219;50034219;ALDI GmbH & Co. KG;MIT;Zülowstr. 1-4;15749;Mittenwalde;;12 - Brandenburg;;DE53;;;;Nein;06:25:00;48er;Fax/Mail;;0;01;X;;;;;Nein;Nein;;;;no;;;;yes;;;;;NEIN;;;43062866566;QCBDR+1DE684823;QCBDR<1DE684823337245;Sven Weber;;;;;;;CD;1;AW
aktiv;;Grocery;Aldi Nord;;131;;;50034778;50034778;50034778;ALDI GmbH & Co. KG;WIE;Österholzstr. 12;99428;Nohra (Grammetal/Weimar);MartaR;16 - Thüringen;;DE30;DE57;;;Ja;06:25:00;48er;Fax/Mail;;0;01;;X;;;;Nein;Nein;;;;yes;;;;yes;;;06:00 - 14:00;;JA;;;43062866450;QCBDR+1DE573880;QCBDR<1DE573880638638;Sven Weber;;;93;;;;MH;1;MK
inaktiv;schließt ab 31.12.2024;Grocery;Aldi Nord;;;;;50059765;50059765;50059765;ALDI GmbH & Co. KG;RIN;Am Stumpfen Turm 33;31737;Rinteln;Dariusz;03 - Niedersachsen;;DE30;HAJ;;;Nein;06:25:00;48er;Fax/Mail;;;;;X;;;;Nein;Nein;;;;no;;;;yes;;;;;NEIN;;;;QCBDR+1DE979848;QCBDR<1DE979848003309;Sven Weber;;;;;;;MH;1;MR
