"plz","ort","bundesland","landkreis","lon","lat"
"01067","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.73814,51.05013
"01069","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.73659,51.04135
"01097","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.75153,51.06675
"01099","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.76386,51.0694
"01108","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.77882,51.13996
"01109","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.76639,51.10629
"01127","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.73177,51.07632
"01129","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.72127,51.08375
"01139","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.69174,51.07796
"01156","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.62312,51.06354
"01157","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.67099,51.05055
"01159","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.70014,51.05282
"01169","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.67005,51.03661
"01187","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.71536,51.03366
"01189","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.71077,51.02008
"01217","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.7538,51.02646
"01219","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.76388,51.03222
"01237","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.80388,51.02322
"01239","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.81813,51.00694
"01257","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.84074,51.01201
"01259","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.84364,50.99929
"01277","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.80537,51.04351
"01279","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.84333,51.03704
"01307","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.77169,51.05141
"01309","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.78854,51.0526
"01324","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.82855,51.05834
"01326","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.84033,51.08272
"01328","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.88206,51.05018
"01445","Radebeul","Sachsen","Landkreis Meißen",13.66416,51.10266
"01454","Radeberg","Sachsen","Landkreis Bautzen",13.92131,51.11586
"01458","Ottendorf-Okrilla","Sachsen","Landkreis Bautzen",13.8239,51.17182
"01465","Dresden","Sachsen","Kreisfreie Stadt Dresden",13.70425,51.10706
"01468","Moritzburg","Sachsen","Landkreis Meißen",13.68111,51.16333
"01471","Radeburg","Sachsen","Landkreis Meißen",13.725,51.21389
"01558","Großenhain","Sachsen","Landkreis Meißen",13.52972,51.29056
"01561","Ebersbach","Sachsen","Landkreis Meißen",13.66667,51.26667
"01587","Riesa","Sachsen","Landkreis Meißen",13.3,51.3
"01589","Riesa","Sachsen","Landkreis Meißen",13.3,51.3
"01591","Riesa","Sachsen","Landkreis Meißen",13.28333,51.3
"01594","Stauchitz","Sachsen","Landkreis Meißen",13.18333,51.25
"01609","Gröditz","Sachsen","Landkreis Meißen",13.45,51.41667
"01612","Glaubitz","Sachsen","Landkreis Meißen",13.38333,51.35
"01616","Strehla","Sachsen","Landkreis Meißen",13.23333,51.35
"01619","Zeithain","Sachsen","Landkreis Meißen",13.33333,51.38333
"01623","Klipphausen","Sachsen","Landkreis Meißen",13.53222,51.08556
"01640","Coswig","Sachsen","Landkreis Meißen",13.58333,51.13333
"01662","Meißen","Sachsen","Landkreis Meißen",13.47778,51.16389
"01665","Klipphausen","Sachsen","Landkreis Meißen",13.53222,51.08556
"01683","Nossen","Sachsen","Landkreis Meißen",13.3,51.05
"01689","Weinböhla","Sachsen","Landkreis Meißen",13.56667,51.16667
"01705","Freital","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",13.65,51.01667
"01723","Wilsdruff","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",13.53333,51.05
"01728","Bannewitz","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",13.71667,50.98333
"01731","Kreischa","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",13.75,50.96667
"01734","Rabenau","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",13.65,50.96667
"01737","Tharandt","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",13.58333,50.98333
"01738","Dorfhain","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",13.56667,50.93333
"01744","Dippoldiswalde","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",13.66667,50.9
"01762","Hartmannsdorf-Reichenau","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",13.55,50.85
"01768","Glashütte","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",13.78333,50.85
"01773","Altenberg","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",13.76028,50.76556
"01774","Klingenberg","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",13.51667,50.91667
"01776","Hermsdorf/Erzgeb.","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",13.65,50.76667
"01778","Geising","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",13.78333,50.75
"01796","Pirna","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",13.94194,50.96222
"01809","Dohna","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",13.85,50.95
"01814","Bad Schandau","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",14.15,50.91667
"01816","Bad Gottleuba-Berggießhübel","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",13.95,50.86667
"01819","Bahretal","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",13.91667,50.9
"01822","Bad Gottleuba-Berggießhübel","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",13.95,50.86667
"01824","Königstein/Sächs. Schw.","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",14.06667,50.91667
"01825","Lohmen","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",14,51
"01829","Stadt Wehlen","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",14.03333,50.95
"00000","Nicht zuzuordnen","Nicht zuzuordnen","Nicht zuzuordnen",10,51
"01833","Stolpen","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",14.08333,51.05
"01844","Neustadt in Sachsen","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",14.21667,51.03333
"01847","Lohmen","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",14,51
"01848","Hohnstein","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",14.11667,50.98333
"01855","Sebnitz","Sachsen","Landkreis Sächsische Schweiz-Osterzgebirge",14.28333,50.96667
"01877","Bischofswerda","Sachsen","Landkreis Bautzen",14.18333,51.13333
"01896","Ohorn","Sachsen","Landkreis Bautzen",14.03333,51.16667
"01900","Großröhrsdorf","Sachsen","Landkreis Bautzen",14.01667,51.15
"01904","Neukirch/Lausitz","Sachsen","Landkreis Bautzen",14.3,51.1
"01906","Burkau","Sachsen","Landkreis Bautzen",14.11667,51.16667
"01909","Frankenthal","Sachsen","Landkreis Bautzen",14.1,51.15
"01917","Kamenz","Sachsen","Landkreis Bautzen",14.1,51.26667
"01920","Elstra","Sachsen","Landkreis Bautzen",14.13333,51.21667
"01936","Königsbrück","Sachsen","Landkreis Bautzen",13.9,51.26667
"01945","Grünewald","Brandenburg","Landkreis Oberspreewald-Lausitz",14.01667,51.4
"01968","Senftenberg","Brandenburg","Landkreis Oberspreewald-Lausitz",14,51.51667
"01979","Lauchhammer","Brandenburg","Landkreis Oberspreewald-Lausitz",13.78333,51.48333
"01983","Großräschen","Brandenburg","Landkreis Oberspreewald-Lausitz",14.00444,51.58167
"01987","Schwarzheide","Brandenburg","Landkreis Oberspreewald-Lausitz",13.86667,51.48333
"01990","Großkmehlen","Brandenburg","Landkreis Oberspreewald-Lausitz",13.71667,51.4
"01993","Schipkau","Brandenburg","Landkreis Oberspreewald-Lausitz",13.91667,51.55
"01994","Schipkau","Brandenburg","Landkreis Oberspreewald-Lausitz",13.91667,51.55
