Auto.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Echtzeit vom Büro,Echtzeit vom Büro.1,Echtzeit vom Büro.2,Auto..1,Auto. ,Echtzeit vom Büro.3,Unnamed: 17,Unnamed: 18
KW,Geplantes Ankunftsdatum lt Liste DHL,Ist Datum,SCI,Lenkzeit,Soure Location,LS Nummern,Status,Anzahl Paletten,Arrival Monitor ,SCI OTM,Ankunft Office,Entladung gestartet ,Entladung beendet ,Wartezeit bis Entladebeginn   ,Entladungszeit  ,Unloaded at Bayreuth (Documents finished),Bemerkungen( bei Shuttle SKU),
nn,dd.mm.yy,dd.mm.yy,10000xxxxx,in Minuten,Schreibe,Schreibe,Auswahlliste,nn,80,ok,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,Schreibe,
1,2024-01-03 00:00:00,2024-01-03 00:00:00,,,Shuttle LC 1,9185085179,Entladen,33,Ticket,,06:15:00,06:20:00,06:40:00,00:05:00,00:20:00,,SKU 10186059 / 10186180 / 10186194,
1,2024-01-03 00:00:00,2024-01-03 00:00:00,n.V.,540,Krage Potsdam,Werbeware ADM,Eingelagert,32,,,07:40:00,07:40:00,08:15:00,00:00:00,00:35:00,,,
1,2024-01-03 00:00:00,2024-01-03 00:00:00,,,Shuttle LC 2,9185085157,Eingelagert,33,ok,,08:10:00,08:15:00,08:35:00,00:05:00,00:20:00,,SKU 10186059 / 10186180 / 10186194,
1,2024-01-03 00:00:00,2024-01-03 00:00:00,,,Geis,Werbeware Feuerzeug,Eingelagert,4,,,10:15:00,10:20:00,10:25:00,00:05:00,00:05:00,,,
1,2024-01-03 00:00:00,2024-01-03 00:00:00,,,Shuttle LC 3,9185080870,Eingelagert,33,ok,,11:30:00,11:35:00,11:50:00,00:05:00,00:15:00,,SKU 10186059 / 10186180 ,
1,2024-01-03 00:00:00,2024-01-03 00:00:00,1000448030,180,Pecs 1,4300934332 / 9185066097 4300934332 / 9185066098 4300934331 / 9185066099 4200214045 / 9185077263,Eingelagert,17 / 4 / 12 / 2,ok,ok,12:45:00,13:05:00,13:25:00,00:20:00,00:20:00,13:30:00,,00:40:00
1,2024-01-04 00:00:00,2024-01-04 00:00:00,,,Shuttle LC 1,9185097205,Eingelagert,33,ok,,06:00:00,06:00:00,06:20:00,00:00:00,00:20:00,,SKU 10186059 / 10186180 / 10186194,
1,2024-01-04 00:00:00,2024-01-04 00:00:00,,,Shuttle LC 2,9185090044,Eingelagert,33,ok,,06:35:00,06:40:00,07:00:00,00:05:00,00:20:00,,SKU 10186059 / 10186180 / 10186194,
1,2024-01-04 00:00:00,2024-01-04 00:00:00,,,Shuttle LC 3,9185068423,Eingelagert,33,ok,,07:40:00,07:45:00,07:55:00,00:05:00,00:10:00,,SKU 10186059 / 10186199 / 10186194,
1,2024-01-04 00:00:00,2024-01-04 00:00:00,1000448022,360,Pecs 2,4300935093 / 9185077209 4300934964 / 9185080456,Eingelagert,7 / 28,ok,ok,07:55:00,08:10:00,08:30:00,00:15:00,00:20:00,08:35:00,,00:35:00
1,2024-01-04 00:00:00,2024-01-04 00:00:00,,,Shuttle LC 4,9185080162,Eingelagert,33,ok,,08:15:00,08:25:00,08:40:00,00:10:00,00:15:00,,SKU 10186059 / 10186200 / 10186201,
1,2024-01-04 00:00:00,2024-01-04 00:00:00,,,Krage Potsdam,3202480155,Eingelagert,3,ok,,09:00:00,09:05:00,09:10:00,00:05:00,00:05:00,,,00:10:00
1,2024-01-04 00:00:00,2024-01-04 00:00:00,,,Shuttle LC 5,9185085798,Eingelagert,33,ok,,10:20:00,10:35:00,10:50:00,00:15:00,00:15:00,,SKU 10186059 / 10186200 / 10186201,
1,2024-01-05 00:00:00,2024-01-05 00:00:00,,,Shuttle LC 1,9185105563,Eingelagert,33,ok,,06:00:00,06:05:00,06:25:00,00:05:00,00:20:00,,SKU 10186059 / 10186200 / 10186201,
1,2024-01-05 00:00:00,2024-01-05 00:00:00,,,Shuttle LC 2,9185123158,Eingelagert,33,ok,,06:50:00,07:05:00,07:20:00,00:15:00,00:15:00,,SKU 10186059 / 10188952,
1,2024-01-05 00:00:00,2024-01-05 00:00:00,,,Shuttle LC 3,9185123341,Eingelagert,33,ok,,08:00:00,08:05:00,08:20:00,00:05:00,00:15:00,,SKU 10186059 / 10188952,
1,2024-01-05 00:00:00,2024-01-05 00:00:00,,,Shuttle LC 4,9185115532,Eingelagert,33,ok,,12:25:00,12:30:00,12:50:00,00:05:00,00:20:00,,SKU 10186059 / 10186247 / 10188935 / 10188952,
2,08.01.24,08.01.24,,,Shuttle LC 1,9185136756,Eingelagert,33,ok,,06:05:00,06:10:00,06:30:00,00:05:00,00:20:00,,SKU 10188935,
2,08.01.24,08.01.24,,,Shuttle LC 2,9185126098,Eingelagert,33,ok,,07:10:00,07:30:00,07:45:00,00:20:00,00:15:00,,SKU 10186059 10186248,
2,08.01.24,08.01.24,1000448038,480,Pecs 1,4200214433 / 9185106163 4300935525 / 9185106162,Eingelagert,30 // 4,ok,ok,08:20:00,08:30:00,09:00:00,00:10:00,00:30:00,09:10:00,,00:40:00
