Auto,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,?,Echtzeit Büro,Echtzeit Büro.1,Echtzeit Büro.2,Auto. ,Auto. .1,Echtzeit Büro.3,Auto.1,Unnamed: 23
KW,Geplantes Ankunftsdatum,Ist Datum,"Timeslot getroffen 
(Ja / Nein)",SCI,Lenkzeit,Destination City,Trailer,LS Nummern,Status Auftrag fertig fürs Lager,Nachträgliche Änderugen (Ja/Nein),Status Verladung,ATTP Portal Status ,SCI OTM,Anzahl verladene Positionen laut Lieferschein (ingesamt),Geplante Ladezeit,Ankunft Office,Verladung gestartet ,Verladung beendet ,Wartezeit bis Verladebeginn ,Verladungszeit,Loaded at Bayreuth (Documents finished),"On time innerhalb 2,5 Std. (Automatisch berechnet) ",Bemerkungen
nn,dd.mm.yy,dd.mm.yy,Auswahlliste,1000xxxxx,in Minuten,Schreibe,Schreibe,Schreibe,Auswahlliste,Auswahlliste,Auswahlliste,soll 80,ok,nn,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,Schreibe
1,2024-01-02 00:00:00,2024-01-02 00:00:00,nein,,540,SUPER-DEPOT 1,BTST9360,Gärtringen / Stuttgart 1,,,Verladen + PGI,,,9,16:00:00,15:15:00,16:20:00,16:40:00,01:05:00,00:20:00,16:45:00,01:30:00,
1,2024-01-02 00:00:00,2024-01-02 00:00:00,nein,,540,SUPER-DEPOT 2,BTST9341,Gärtringen / Stuttgart 2,,,Verladen + PGI,,,17,17:00:00,16:30:00,16:40:00,17:05:00,00:10:00,00:25:00,17:10:00,00:40:00,
1,2024-01-02 00:00:00,2024-01-02 00:00:00,nein,,540,SUPER-DEPOT 3,BTST9352,Gärtringen / Stuttgart 3,,,Verladen + PGI,,,16,17:00:00,17:30:00,17:45:00,17:55:00,00:15:00,00:10:00,18:00:00,00:30:00,
1,2024-01-02 00:00:00,2024-01-02 00:00:00,nein,,540,SUPER-DEPOT 4,BTST9353,Schkeuditz / Leipzig 1,,,Verladen + PGI,,,24,18:00:00,18:20:00,18:30:00,18:45:00,00:10:00,00:15:00,18:50:00,00:30:00,
1,2024-01-02 00:00:00,2024-01-02 00:00:00,nein,,540,SUPER-DEPOT 5,BTST9342,Schkeuditz / Leipzig 3,,,Verladen + PGI,,,2,19:00:00,18:10:00,18:15:00,18:20:00,00:05:00,00:05:00,18:25:00,00:00:00,
1,2024-01-02 00:00:00,2024-01-02 00:00:00,nein,,540,SUPER-DEPOT 6,BTST9359,Schkeuditz / Leipzig 4,,,Verladen + PGI,,,23,20:00:00,19:15:00,19:20:00,19:40:00,00:05:00,00:20:00,19:45:00,00:15:00,
1,2024-01-02 00:00:00,2024-01-02 00:00:00,Nein,1000448467,480,Duisburg 1,7E32406,3202678284 / 3202678285 / 3202678286 / 3202678288,Erledigt,,Verladen + PGI,80,ok,38,10:00:00,08:50:00,09:10:00,09:30:00,00:20:00,00:20:00,09:35:00,00:00:00,
1,2024-01-02 00:00:00,2024-01-02 00:00:00,Nein,1000448468,480,Duisburg 2,5E92720,3202678287,Erledigt,,Verladen + PGI,80,ok,33,10:00:00,08:50:00,09:10:00,09:35:00,00:20:00,00:25:00,09:40:00,00:50:00,
1,2024-01-02 00:00:00,2024-01-02 00:00:00,Nein,1000448727,360,Hamburg 1,5E92590,3202678280 / 3202678281 / 3202678282 / 3202678283,Erledigt,,Verladen + PGI,80,ok,36,11:00:00,13:10:00,13:15:00,13:25:00,00:05:00,00:10:00,13:40:00,00:30:00,
1,2024-01-02 00:00:00,2024-01-02 00:00:00,nein,1000448473,300,Großbeeren 1,7E25956,3202678292 / 3202678293 / 3202678294,Erledigt,,Verladen + PGI,80,ok,37,11:00:00,15:45:00,15:50:00,16:15:00,00:05:00,00:25:00,16:25:00,00:40:00,
