SapOrderNumber,ItemNumber,KVP,Outers,CorrespondingCartons,CorrespondingOuters,CorrespondingPackages,PackagesPerOuter,InternationalArticleNumberForOuter,MaterialNumber,ParentItemNumber,InternationalArticleNumberForMastercase,OuterPerMastercase,CorrespondingMastercases,CorrespondingPallets,MastercasePerPallet,VolumeInMTQ,MaterialGroup,MaterialType,TPDIndicator,OUT,VolInThKg,PlannedDate,IsReturnDelivery,IsDeleted
3202156139,000010,58.0,18,0,17,7,10,4031300298596,10182603,,4031300298695,50,0,0,21,0.012936999999999999,ZFG590013,ZFER,Y,,,09.11.2023,True,False
3202156139,000020,58.0,20,0,20,0,10,4031300298572,10182611,,4031300298671,50,0,0,21,0.015220000000000001,ZFG590013,ZFER,Y,,,09.11.2023,True,False
3202156139,000030,58.0,16,0,16,0,10,4031300298558,10182550,,4031300298657,50,0,0,21,0.012176,ZFG590013,ZFER,Y,,,09.11.2023,True,False
3202156139,000040,58.0,18,0,17,8,10,4031300298510,10182578,,4031300298619,50,0,0,21,0.012936999999999999,ZFG590013,ZFER,Y,,,09.11.2023,True,False
3202156139,000050,58.0,19,0,19,0,10,4031300298534,10182570,,4031300298633,50,0,0,21,0.014459,ZFG590013,ZFER,Y,,,09.11.2023,True,False
3202217632,000010,0.0,1,1,0,0,1,,75009820,,,1,0,1,1,0.0323,ZEB551217,ZUNB,N,,,16.11.2023,True,False
3202217633,000010,0.0,1,1,0,0,1,,75009821,,,1,0,1,1,0.0323,ZEB551217,ZUNB,N,,,16.11.2023,True,False
3202224883,000010,29.95,252,42,0,0,1,4031300283400,10186059,,4031300283516,6,0,1,42,1.924,,,,,,08.11.2023,False,False
3202224884,000010,29.95,252,42,0,0,1,4031300283400,10186059,,4031300283516,6,0,1,42,1.924,,,,,,08.11.2023,False,False
3202224885,000010,58.5,25,1,0,0,3,4031300297834,10189149,,4031300298312,25,1,0,49,0.030125,,,,,,08.11.2023,False,False
3202224885,000020,99.0,10,0,10,0,6,4031300297803,10189159,,4031300298282,20,0,0,42,0.01579,,,,,,08.11.2023,False,False
3202224885,000030,58.5,25,1,0,0,3,4031300297681,10189148,,4031300298169,25,1,0,49,0.032149000000000004,,,,,,08.11.2023,False,False
3202224885,000040,80.0,25,1,5,0,8,4031300301869,10187672,,4031300301883,20,1,0,42,0.037175,,,,,,08.11.2023,False,False
3202224885,000050,78.0,5,0,5,0,10,4031300296097,10186592,,4031300296271,25,0,0,42,0.005540000000000001,,,,,,08.11.2023,False,False
3202235763,000010,80.0,840,42,0,0,8,4031300301869,10187672,,4031300301883,20,0,1,42,1.711,,,,,,03.11.2023,False,False
3202235763,000020,80.0,280,14,0,0,8,4031300301876,10187692,,4031300301890,20,14,0,42,0.42175,,,,,,03.11.2023,False,False
3202235763,000030,107.0,25,1,0,0,10,4031300294970,10177123,,4031300295397,25,1,0,24,0.0392,,,,,,03.11.2023,False,False
3202235763,000040,63.0,25,1,0,0,10,4031300295359,10178596,,4031300295779,25,1,0,42,0.029541,,,,,,03.11.2023,False,False
3202235763,000050,57.6,50,2,0,0,8,4031300301340,10186996,,4031300301364,25,2,0,42,0.064278,,,,,,03.11.2023,False,False
3202235763,000060,85.0,350,14,0,0,10,4031300295052,10177134,,4031300295472,25,14,0,42,0.413574,,,,,,03.11.2023,False,False
3202235763,000070,82.0,175,7,0,0,10,4031300295113,10177149,,4031300295533,25,7,0,42,0.206787,,,,,,03.11.2023,False,False
3202235763,000080,82.0,50,2,0,0,10,4031300295830,10177128,,4031300295977,25,2,0,42,0.059082,,,,,,03.11.2023,False,False
3202235763,000090,80.0,140,7,0,0,8,4031300296950,10186805,,4031300297346,20,7,0,42,0.210875,,,,,,03.11.2023,False,False
3202235763,000100,105.0,60,3,0,0,6,4031300296974,10187881,,4031300297360,20,3,0,42,0.10155599999999998,,,,,,03.11.2023,False,False
3202235763,000110,108.0,48,3,0,0,12,4031300296936,10187046,,4031300297322,16,3,0,48,0.08559299999999999,,,,,,03.11.2023,False,False
3202235763,000120,80.0,140,7,0,0,8,4031300297087,10179850,,4031300297476,20,7,0,42,0.210875,,,,,,03.11.2023,False,False
3202235763,000130,82.0,100,4,0,0,10,4031300295878,10177138,,4031300296011,25,4,0,42,0.118164,,,,,,03.11.2023,False,False
3202235763,000140,108.0,48,3,0,0,12,4031300297063,10179902,,4031300297452,16,3,0,48,0.08559299999999999,,,,,,03.11.2023,False,False
3202235763,000150,82.0,175,7,0,0,10,4031300295854,10177129,,4031300295991,25,7,0,42,0.206787,,,,,,03.11.2023,False,False
3202235763,000160,108.0,128,8,0,0,12,4031300297025,10179889,,4031300297414,16,8,0,48,0.22824799999999998,,,,,,03.11.2023,False,False
3202235763,000170,80.0,20,1,0,0,8,4031300297124,10182496,,4031300297513,20,1,0,42,0.029541,,,,,,03.11.2023,False,False
3202235763,000180,82.0,25,1,0,0,10,4031300295793,10177136,,4031300295939,25,1,0,60,0.023232,,,,,,03.11.2023,False,False
3202235763,000190,60.0,525,21,0,0,3,4031300296929,10186803,,4031300297315,25,21,0,49,0.532833,,,,,,03.11.2023,False,False
3202235763,000200,82.0,350,14,0,0,10,4031300295816,10186694,,4031300295953,25,14,0,42,0.413574,,,,,,03.11.2023,False,False
3202235763,000210,108.0,128,8,0,0,12,4031300296790,10186704,,4031300297186,16,8,0,48,0.22480000000000003,,,,,,03.11.2023,False,False
3202235763,000220,80.0,840,42,0,0,8,4031300296813,10186705,,4031300297209,20,0,1,42,1.711,,,,,,03.11.2023,False,False
3202235763,000230,104.0,20,1,0,0,8,4031300296851,10186786,,4031300297247,20,1,0,42,0.032149000000000004,,,,,,03.11.2023,False,False
3202235763,000240,108.0,64,4,0,0,12,4031300297940,10187107,,4031300298428,16,4,0,48,0.11412399999999999,,,,,,03.11.2023,False,False
