DeliveryDepot,PlannedDate,UnloadingListIdentifier,Picks Gesamt,Gepackte Paletten
KNSTR,2021-11-04 00:00:00+00:00,1,1.0,0.0
KNSTR,2021-11-09 00:00:00+00:00,1,1.0,0.0
KNSTR,2021-11-19 00:00:00+00:00,1,15.0,0.0
KNSTR,2022-01-25 00:00:00+00:00,1,16.0,0.0
KNSTR,2022-01-26 00:00:00+00:00,1,9.0,0.0
KNSTR,2022-01-27 00:00:00+00:00,1,22.0,0.0
KNSTR,2022-01-28 00:00:00+00:00,1,49.0,0.0
KNSTR,2022-01-31 00:00:00+00:00,1,16.0,0.0
KNSTR,2022-02-01 00:00:00+00:00,1,53.0,0.0
KNSTR,2022-02-02 00:00:00+00:00,1,24.0,0.0
KNSTR,2022-02-03 00:00:00+00:00,1,14.0,0.0
KNSTR,2022-02-04 00:00:00+00:00,1,57.0,0.0
KNSTR,2022-02-07 00:00:00+00:00,1,25.0,0.0
KNSTR,2022-02-08 00:00:00+00:00,1,26.0,0.0
KNSTR,2022-02-09 00:00:00+00:00,1,31.0,0.0
KNSTR,2022-02-10 00:00:00+00:00,1,12.0,0.0
KNSTR,2022-02-11 00:00:00+00:00,1,23.0,0.0
KNSTR,2022-02-14 00:00:00+00:00,1,21.0,0.0
KNSTR,2022-02-15 00:00:00+00:00,1,13.0,0.0
KNSTR,2022-02-16 00:00:00+00:00,1,22.0,0.0
KNSTR,2022-02-17 00:00:00+00:00,1,19.0,0.0
KNSTR,2022-03-21 00:00:00+00:00,1,26.0,1.0
KNSTR,2022-04-04 00:00:00+00:00,1,1344.0,47.0
KNSTR,2022-04-05 00:00:00+00:00,1,983.0,30.0
KNSTR,2022-04-06 00:00:00+00:00,1,1056.0,45.0
KNSTR,2022-04-07 00:00:00+00:00,1,1136.0,54.0
KNSTR,2022-04-08 00:00:00+00:00,1,651.0,31.0
KNSTR,2022-04-11 00:00:00+00:00,1,1084.0,58.0
KNSTR,2022-04-12 00:00:00+00:00,1,1276.0,38.0
KNSTR,2022-04-13 00:00:00+00:00,1,1342.0,49.0
KNSTR,2022-04-14 00:00:00+00:00,1,805.0,35.0
KNSTR,2022-04-19 00:00:00+00:00,1,1147.0,36.0
KNSTR,2022-04-20 00:00:00+00:00,1,865.0,29.0
KNSTR,2022-04-21 00:00:00+00:00,1,1134.0,92.0
KNSTR,2022-04-22 00:00:00+00:00,1,852.0,25.0
KNSTR,2022-04-25 00:00:00+00:00,1,1060.0,40.0
KNSTR,2022-04-26 00:00:00+00:00,1,730.0,29.0
KNSTR,2022-04-27 00:00:00+00:00,1,1053.0,38.0
KNSTR,2022-04-28 00:00:00+00:00,1,608.0,42.0
