,SapOrderNumber,CreatedTimestamp,CreatedBy,UpdatedTimestamp,UpdatedBy,Status,NiceLabelTransmissionState_Status,NiceLabelTransmissionState_TimeStamp,DeliveryDepot,IsReturnDelivery,IsDesAdvNeeded,PlannedDate,UnloadingListIdentifier,AllSSCCLabelsPrinted,IsSSCCLabelPrintingAllowed,PartnerNo,IDocNumberDESADV,Source,IDocNumberSHPORD,QuantityCheckStatus,QuantityCheckTimestamp,OrderHasConflicts,ActualNumberOfPallets,EstimatedNumberOfPallets,DeletedBy,DeletionTime,IsDeleted,CustomerReturnInProgressByClientSince,DeliveryDocumentsConfigurationIdentifier,IsLoadingLaneFixed,LoadingLaneId,DeliveryDocumentHasIssue,OriginalPlannedDate,PlannedDateChanged,Gepackte Paletten,Fertige Paletten,Geschätzte Paletten,VolInThKg,Picks Paletten,Picks Karton,Picks Stangen,KVP,Lieferschein erhalten,Picks Gesamt,PartnerName,PicksFertig,PicksOffen,Picks Karton offen,Picks Paletten offen,Picks Stangen offen,Picks Karton fertig,Picks Paletten fertig,Picks Stangen fertig,Fertiggestellt,First_Picking,Packtag,Jahr,Wochentag,Woche,Monat
3591,3202545836,2024-08-08 11:52:22.963490+00:00,Service,2024-08-09 04:27:49.411097+00:00,Service,OrderInformationSent,1,2024-08-08 11:52:22.963490+00:00,KNBFE,False,False,09.08.2024,None,False,True,50033780,0000006981158192,SAP,0000006980124279,QuantityCheckWithDifferences,2024-08-09 04:27:49.880988+00:00,False,0,0,None,NaT,False,NaT,"(NULL,NULL)",False,2034.0,False,2024-08-09 00:00:00+00:00,False,0,0,0,0.0,0.0,1.0,8.0,3.0,2024-08-08 11:52:22.963490+00:00,9.0,F. Steinhaus GmbH & Co. KG,nan,nan,1.0,0.0,8.0,nan,nan,nan,2024-08-09 04:36:43.649413+00:00,2024-08-09 04:36:08.095949+00:00,09.08.2024,2024,Friday,32.2024,08.2024
3592,3202545839,2024-08-08 11:52:16.467629+00:00,Service,2024-08-08 11:52:19.343033+00:00,Service,OrderInformationSent,1,2024-08-08 11:52:16.467629+00:00,KNBFE,False,False,09.08.2024,None,False,False,50033780,0000006980124291,SAP,0000006980124289,QuantityCheckWithDifferences,2024-08-08 11:52:21.904740+00:00,False,0,1,None,NaT,False,NaT,"(NULL,NULL)",False,2034.0,False,2024-08-09 00:00:00+00:00,False,0,0,1,0.0,0.0,5.0,0.0,4.0,2024-08-08 11:52:16.467629+00:00,5.0,F. Steinhaus GmbH & Co. KG,nan,nan,5.0,0.0,0.0,nan,nan,nan,2024-08-09 04:55:49.141840+00:00,2024-08-09 04:55:49.141840+00:00,09.08.2024,2024,Friday,32.2024,08.2024
3632,3202771026,2024-08-08 13:23:00.587266+00:00,Service,2024-08-08 13:23:03.506787+00:00,Service,OrderInformationSent,1,2024-08-08 13:23:00.587266+00:00,KNHAJ,False,False,09.08.2024,None,False,False,50034627,0000006980207840,SAP,0000006980207837,QuantityCheckWithDifferences,2024-08-08 13:23:04.225555+00:00,False,0,1,None,NaT,False,NaT,"(NULL,NULL)",False,2035.0,False,2024-08-09 00:00:00+00:00,False,0,0,1,0.0,0.0,14.0,0.0,2.0,2024-08-08 13:23:00.587266+00:00,14.0,NETTO Marken-Discount AG&CO.KG,nan,nan,14.0,0.0,0.0,nan,nan,nan,NaT,NaT,09.08.2024,2024,Friday,32.2024,08.2024
3654,3202869605,2024-08-08 13:22:11.925748+00:00,Service,2024-08-09 04:30:08.995788+00:00,Service,OrderInformationSent,1,2024-08-08 13:22:11.925748+00:00,KNBFE,False,False,09.08.2024,None,False,True,50035409,0000006981151194,SAP,0000006980202401,QuantityCheckWithDifferences,2024-08-09 04:30:09.489444+00:00,False,3,1,None,NaT,False,NaT,"(NULL,NULL)",False,2034.0,False,2024-08-09 00:00:00+00:00,False,3,3,1,0.0,0.0,34.0,0.0,10.0,2024-08-08 13:22:11.925748+00:00,34.0,NETTO Marken-Discount AG&CO.KG,nan,nan,34.0,0.0,0.0,nan,nan,nan,2024-08-09 04:55:00.345688+00:00,2024-08-09 04:40:28.783741+00:00,09.08.2024,2024,Friday,32.2024,08.2024
3655,3202869606,2024-08-08 13:22:44.090572+00:00,Service,2024-08-08 13:22:46.140344+00:00,Service,OrderInformationSent,1,2024-08-08 13:22:44.090571+00:00,KNBFE,False,False,09.08.2024,None,False,False,50035409,0000006980202406,SAP,0000006980202404,QuantityCheckWithDifferences,2024-08-08 13:22:46.784421+00:00,False,0,1,None,NaT,False,NaT,"(NULL,NULL)",False,2034.0,False,2024-08-09 00:00:00+00:00,False,0,0,1,0.0,0.0,7.0,0.0,1.0,2024-08-08 13:22:44.090572+00:00,7.0,NETTO Marken-Discount AG&CO.KG,nan,nan,7.0,0.0,0.0,nan,nan,nan,NaT,NaT,09.08.2024,2024,Friday,32.2024,08.2024
3656,3202869607,2024-08-08 13:22:50.924471+00:00,Service,2024-08-09 03:54:33.731235+00:00,85139258,OrderInformationSent,1,2024-08-08 13:22:50.924471+00:00,KNBFE,False,False,09.08.2024,None,False,True,50034399,0000006980674149,SAP,0000006980202407,QuantityCheckWithDifferences,2024-08-08 20:19:40.568109+00:00,False,25,27,None,NaT,False,NaT,"(NULL,NULL)",True,2034.0,False,2024-08-09 00:00:00+00:00,False,25,25,27,0.0,22.0,81.0,0.0,19.0,2024-08-08 13:22:50.924471+00:00,103.0,Wenko-Team Service GmbH,nan,nan,81.0,22.0,0.0,nan,nan,nan,2024-08-08 20:07:26.822525+00:00,2024-08-08 17:25:39.841837+00:00,09.08.2024,2024,Friday,32.2024,08.2024
3690,3203058010,2024-08-08 11:52:43.446410+00:00,Service,2024-08-08 11:52:47.584672+00:00,Service,OrderInformationSent,1,2024-08-08 11:52:43.446410+00:00,KNLEJ,False,False,09.08.2024,None,False,False,50034216,0000006980124294,SAP,0000006980124292,QuantityCheckWithDifferences,2024-08-08 11:52:48.519614+00:00,False,0,2,None,NaT,False,NaT,"(NULL,NULL)",False,2040.0,False,2024-08-09 00:00:00+00:00,False,0,0,2,0.0,0.0,67.0,0.0,5.0,2024-08-08 11:52:43.446410+00:00,67.0,NETTO Marken-Discount AG&CO.KG,nan,nan,67.0,0.0,0.0,nan,nan,nan,2024-08-09 04:44:03.413606+00:00,2024-08-09 04:44:03.413606+00:00,09.08.2024,2024,Friday,32.2024,08.2024
3691,3203058011,2024-08-08 11:52:36.896039+00:00,Service,2024-08-08 11:52:40.788374+00:00,Service,OrderInformationSent,1,2024-08-08 11:52:36.896039+00:00,KNSTR,False,False,09.08.2024,None,False,False,50034017,0000006980124297,SAP,0000006980124295,QuantityCheckWithDifferences,2024-08-08 11:52:41.658586+00:00,False,0,0,None,NaT,False,NaT,"(NULL,NULL)",False,2037.0,False,2024-08-09 00:00:00+00:00,False,0,0,0,0.0,0.0,33.0,0.0,9.0,2024-08-08 11:52:36.896039+00:00,33.0,NETTO Marken-Discount AG&CO.KG,nan,nan,33.0,0.0,0.0,nan,nan,nan,NaT,NaT,09.08.2024,2024,Friday,32.2024,08.2024
3692,3203058013,2024-08-08 11:53:21.956044+00:00,Service,2024-08-09 04:31:01.565422+00:00,Service,OrderInformationSent,1,2024-08-08 11:53:21.956043+00:00,KNLEJ,False,False,09.08.2024,None,False,True,50034595,0000006981155156,SAP,0000006980124301,QuantityCheckWithDifferences,2024-08-09 04:31:02.093708+00:00,False,1,0,None,NaT,False,NaT,"(NULL,NULL)",False,2040.0,False,2024-08-09 00:00:00+00:00,False,1,1,0,0.0,0.0,85.0,0.0,11.0,2024-08-08 11:53:21.956044+00:00,85.0,NETTO Marken-Discount AG&CO.KG,nan,nan,85.0,0.0,0.0,nan,nan,nan,2024-08-09 04:43:06.514916+00:00,2024-08-09 04:42:25.656336+00:00,09.08.2024,2024,Friday,32.2024,08.2024
3693,3203058014,2024-08-08 11:53:28.496480+00:00,Service,2024-08-08 11:53:30.034984+00:00,Service,OrderInformationSent,1,2024-08-08 11:53:28.496479+00:00,KNHAJ,False,True,09.08.2024,None,False,False,50034190,0000006980124306,SAP,0000006980124304,QuantityCheckWithDifferences,2024-08-08 11:53:30.697975+00:00,False,0,0,None,NaT,False,NaT,"(NULL,NULL)",False,2035.0,False,2024-08-09 00:00:00+00:00,False,0,0,0,0.0,0.0,1.0,0.0,1.0,2024-08-08 11:53:28.496480+00:00,1.0,Tabakwaren Union Barkow GmbH,nan,nan,1.0,0.0,0.0,nan,nan,nan,NaT,NaT,09.08.2024,2024,Friday,32.2024,08.2024
