LFART_Types,LFART_TaO_Delivery_Types_for_3PL_Deutsch,WERKS,LGORT,LFDAT,VBELN,POSNR,PSTYV,ERNAM_x,MATNR,ARKTX,MATKL,LGMNG,MEINS,VSTEL,Paletten,Cases,Outers,Packs,GesamtGrossWeight,VKORG,LFART,KUNNR,NAME1,ORT01,PSTLZ,Ship-To,Plnt,Pickkosten,Monat,Jahr,Monat_Jahr
Outbound,ZLF (Standardlieferung),DE58,A101,2024-04-22,3202718595,160,ZTAN,98999033,10192269,"FairPlay Gold XXXL 33 9,90 NP",ZFG100000,10.56,TH,DE58,0,2,0,0,13.032,DE10,ZLF,50033745,Lekkerland SE,Elz,65604,,DE58,0.46975583577179203,4.0,2024.0,04.2024
Outbound,ZLF (Standardlieferung),DE54,A101,2024-06-10,3202971318,180,ZTAN,98999033,10198467,"PM Red Giga 110g 29,95 NP",ZFG130000,11.88,KG,DE54,0,6,0,0,13.830000000000002,DE10,ZLF,50034809,Lekkerland SE,Braak,22145,,DE54,1.4092675073153762,6.0,2024.0,06.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2025-01-08,3203224088,30,ZTN1,_DE_CPS_BTCH,10194411,"veo Ruby Twist 20 6,00",ZFG590013,0.02,TH,DE19,0,0,0,1,17.0,DE10,ZLF2,51809254,BAT G - B2C E-Com. GLO shop,Hamburg,20354,,DE19,0.08932154349169051,1.0,2025.0,01.2025
Outbound,ZLF (Standardlieferung),DE19,A104,2024-09-02,3203086471,50,ZTA1,_DE_CPS_BTCH,10191249,GLO HYPER PRO SKit OBSIDIAN BLACK,ZFG511000,0.001,TH,DE19,0,0,1,0,0.163,DE10,ZLF2,51809254,BAT G - B2C E-Com. GLO shop,Hamburg,20354,,DE19,0.6798501704635149,9.0,2024.0,09.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2024-03-01,3202751597,10,ZTA1,_DE_CPS_BTCH,10180348,Vuse PRO Caps Wld Berries 18mg,ZFG439003,0.002,TH,DE19,0,0,0,1,0.026,DE10,ZLF2,51735171,BAT G - B2C E-Com. VUSE shop,Hamburg,20354,,DE19,0.08932154349169051,3.0,2024.0,03.2024
Outbound,ZLF (Standardlieferung),DE55,A101,2024-01-12,3202693713,10,ZTAN,98999033,10192506,"LS Auth Blue XXL 22 9,00 NP",ZFG100000,33.792,TH,DE55,0,8,0,0,43.696,DE10,ZLF,50034754,Lekkerland SE,Wedemark,30900,50034754,DE55,1.8790233430871681,1.0,2024.0,01.2024
Outbound,ZLF (Standardlieferung),DE56,A101,2024-02-12,3202633517,10,ZTAN,98999033,10193763,"FairPlay Fi XXL 22 7,00 NP",ZFG100000,44.0,TH,DE56,0,10,0,0,57.33,DE10,ZLF,50034858,Metro C&C Markt GmbH,Essen,45329,,DE56,2.34877917885896,2.0,2024.0,02.2024
Outbound,ZLF (Standardlieferung),DE11,A103,2024-08-21,3203066236,160,ZTNN,98999033,10196067,Vuse Pods Mango Ice 20mg,ZFG439003,0.006,TH,DE11,0,0,0,3,0.081,DE10,ZLF,54114618,EDEKA Puleo e.K.,Uedem,47589,,DE11,0.0,8.0,2024.0,08.2024
Outbound,ZLF (Standardlieferung),DE30,A101,2024-06-11,3202972537,180,ZTAN,98999033,10191130,"Vogue Cara Bleue 20 8,40 NP",ZFG100000,10.0,TH,DE30,0,1,0,0,13.79,DE10,ZLF,50034705,Tabakwaren Union GmbH&CO.KG,Nörten-Hardenberg,37176,50034705,DE55,0.23487791788589601,6.0,2024.0,06.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2024-02-16,3202738118,10,ZTA1,_DE_CPS_BTCH,10171896,"LS Rounded Tob sticks 5,50",ZFG510000,0.4,TH,DE19,0,0,2,0,0.388,DE10,ZLF2,51809254,BAT G - B2C E-Com. GLO shop,Hamburg,20354,,DE19,1.3597003409270298,2.0,2024.0,02.2024
